tag,x_true,y_true,x_meas,y_meas
9,0.59,-0.08,0.5415768449536873,-0.07900245786575391
9,0.59,0.12,0.5413657494081714,0.11360269893198086
9,0.4,-0.06,0.3557939818066305,-0.055631328207195435
9,0.5,-0.1,0.451256400618304,-0.0994167056995346
9,0.5,0.055,0.4536714512949199,0.04959862573208226
9,0.5,0.065,0.45477347810294816,0.06626672276688231
9,0.6,0.08,0.5529939561739906,0.07861033104209435
9,0.6,0.125,0.5514378820067231,0.11897314728792094
9,0.6,-0.1,0.5428037908166846,-0.10799597366693219
9,0.6,-0.13,0.5511024883619484,-0.14164069207101204
9,0.65,-0.07,0.6029372833953957,-0.08102030354873468
9,0.65,-0.12,0.5983514713931167,-0.12953055930865418
9,0.65,0.14,0.6074252932222435,0.13198210403304073
9,0.65,0.07,0.6007128658585446,0.06035204203150737
9,0.8,0.07,0.7551267492296396,0.05926894892152632
9,0.7,0.17,0.6467113973988373,0.15780699405282428
9,0.7,-0.1,0.6339437207850304,-0.11228644408683482
9,0.7,-0.14,0.647741784337975,-0.1513808851879292
9,0.8,-0.1,0.7462566946715555,-0.11281721200973667
9,0.8,-0.17,0.7405390668419322,-0.17697965318850314
9,0.8,0.1,0.7577192938119003,0.08970243580350869
9,0.8,0.17,0.7536301157509567,0.1588451533790691
9,0.9,0.2,0.852224710983433,0.18199017145429677
9,0.9,0.16,0.8544662563209788,0.1409112222626792
9,0.9,0.1,0.8456253093195101,0.08011280313175217
9,0.9,-0.1,0.8369673264287625,-0.11843965627578364
4,0.9,-0.1,0.8545517296106203,-0.11654124561512438
4,0.9,-0.2,0.84948625700887,-0.22077850628160406
4,0.9,0.2,0.8454850012386831,0.18489243579969059
4,0.9,0.1,0.843764396710872,0.08335156567111804
4,0.9,0.05,0.8551558393474922,0.03272373107743924
4,1.0,0.2,0.9540289487144357,0.1768888284789339
4,1.0,0.1,0.9533486757331866,0.07951487008617238
4,1.0,-0.1,0.9506563396578168,-0.12867690734229525
4,1.0,-0.2,0.9593551614631363,-0.22518628457558085
4,1.1,0.2,1.0715268289105266,0.18104251956670672
4,1.1,0.1,1.048618701812623,0.07850743134709288
4,1.1,0.25,1.070077189967221,0.2355504105289347
4,1.1,-0.1,1.057717196592923,-0.11833977593173116
4,1.1,-0.2,1.0449192369636882,-0.2238158858444014
4,1.1,-0.25,1.0513268240908884,-0.28348612511296123
4,1.2,0.2,1.1655256417353566,0.17636900560351965
4,1.2,-0.2,1.1534529128071749,-0.2302204588480447
4,1.2,-0.1,1.1541754903681036,-0.12932314767288072
4,1.2,0.1,1.1533091729950897,0.07527264642128358
4,1.2,0.2,1.1724195979626746,0.1771466714327055
4,1.2,0.25,1.1655339953813133,0.2280897426409165
4,1.2,-0.25,1.1765865595841252,-0.2873770979677595
4,1.3,-0.25,1.252618430697061,-0.27936142191960034
4,1.3,-0.1,1.2538932072296638,-0.1300249082715196
4,1.3,0.1,1.2561122102109825,0.0716508570334976
4,1.3,0.2,1.2544663038873125,0.1703258997629571
4,1.3,0.3,1.2670223292514768,0.27840144057495686
4,1.3,-0.3,1.256918153038337,-0.32721153829134686
4,1.4,-0.3,1.3866503427367158,-0.33571146821142284
4,1.4,-0.2,1.3609122005905623,-0.2317427186503706
4,1.4,-0.1,1.358164047066028,-0.13051672135852987
4,1.4,0.1,1.3589959994430214,0.07243124608839653
4,1.4,0.2,1.3906934397131487,0.17862433590374638
4,1.4,0.3,1.3851281484373013,0.2812031324192681
4,1.4,0.35,1.3877336945367098,0.3250202172507268
4,1.4,-0.35,1.3726896320123956,-0.39229166434037266
