shot_id,object,robot_x,robot_y,robot_theta_deg,est_x,est_y,raw_error_m
1,orange,-0.7672455505163643,-0.9409085999230591,11.866677308918478,0.4808235293235861,-0.9441444165851034,0.021223774423681906
2,redapple,-0.919403112320944,-1.2802795768573298,82.98502434719963,-0.5729200888861553,-0.4138804537268839,0.07003456983674304
3,redapple,-0.8422645729361847,-1.2801966707457668,74.36894421744272,-0.5491759013095932,-0.42531318250493283,0.07172795697572404
4,capsicum,-0.8422645729361847,-1.2801966707457668,74.36894421744272,-0.13080686679073644,0.38027962912035584,0.04974623150196629
5,lime,-0.6608077974923936,-0.7948226458171374,46.75057555161815,-0.15021887565853176,-0.3470573506098107,0.048473272854828574
6,greenapple,-0.11382166876660449,1.177620972633632,-61.870904195208894,0.6257342217400583,0.22246241193781274,0.15392745932326798
7,orange,-0.11382166876660449,1.177620972633632,-61.870904195208894,0.4789707661850251,-1.185436207394913,0.2558179789539695
8,orange,0.11399105474982818,0.4854472405140462,-65.76564557413536,0.4654851850851439,-0.980190112520136,0.05019245759425168
9,orange,0.11399105474982818,0.4854472405140462,-65.76564557413536,0.4673193065405831,-0.9878914386295642,0.05793787922792638
10,orange,0.11399105474982818,0.4854472405140462,-65.76564557413536,0.46736805538479365,-0.9867438984044126,0.056793289149649887
11,greenapple,-0.0820147677012023,-0.8853830551897308,50.02353732453515,0.6560828230911614,0.00887592030145738,0.08549515874307682
12,greenapple,-0.0820147677012023,-0.8853830551897308,50.02353732453515,0.6575865658517658,0.01052693096278748,0.08334268454151017
13,lemon,-1.114835508325542,-0.17926409051579828,37.14658042611183,0.36614228049502573,0.7869286188234971,0.035777226269741204
14,capsicum,-1.114835508325542,-0.17926409051579828,37.14658042611183,-0.17750884025692518,0.3112585989495813,0.03365453344623179
15,capsicum,-1.3521129726301397,1.1623076347730392,-21.993875995721247,-0.16852806164775014,0.3144167676253222,0.026967195149006303
16,mango,-1.3521129726301397,1.1623076347730392,-21.993875995721247,-1.054164376183219,1.0142075203718806,0.30105867171621414
17,greenapple,-1.3521129726301397,1.1623076347730392,-21.993875995721247,0.6016664397467676,0.15444548795480986,0.11633498728596396
18,lemon,-1.3521129726301397,1.1623076347730392,-21.993875995721247,0.3685748824548749,0.8242842520971797,0.07173098247534304
